PC1,PC2
-2.0550790724194026,1.1301547923943431
-1.2643972182738359,-0.3786449538265738
1.5650950670242838,0.5263839471878288
1.6430754205998856,0.008416397154155361
-1.8656581177224623,0.8668125931760775
0.8737704704012413,-0.5602804653948009
-1.7913919005134689,0.35400861567609415
-0.22358065174067118,-1.0065276701709225
-0.9053475260453864,-0.4682577719239288
-2.279611001936126,0.6231990118896101
-0.8335408896243245,-0.5680868409086305
-0.5834557076061431,-0.915767391510523
0.09292693940740482,-0.7033803532350077
-0.9387417330985688,0.3972794345316008
-1.073325536302849,-0.6442820741709239
2.456141153683924,0.9258303766880089
2.2018961332343467,0.46018317645280793
1.4965568649050398,-0.19744187973194507
1.6051086932967955,0.06119958305411269
1.8795586127303143,0.0892014726686172
